cap,via
20154,Giorgione (Via)
20144,Giorza Paolo (Via)
20145,Giotto (Via)
20124,Giovanna D'Arco (Via privata)
20141,Giovanni da Cermenate (Viale)
20146,Giovanni Dalle Bande Nere (Piazzale)
20133,Giovanni da Milano (Via)
20149,Giovanni da Procida (Via)
20156,Giovanni da Udine (Via)
20151,Giovanni Della Casa (Via)
20152,Giovanni Di Breganze (Via)
20145,Giovanni XXIII (Piazza)
20142,Giovanola Antonio (Via)
20136,Giovenale (Via)
20123,Giovine Italia (Piazza)
20144,Giovio Paolo (Via)
20139,Giraldi Pecori Guglielmo (Via)
20161,Girardengo Costante (Via)
20138,Giraud Edoardo (Via)
20162,Girola Carlo (Via)
20132,Giuba (Via)
20158,Giudice Donadoni Maddalena (Via)
20125,Giuliani Padre Reginaldo (Via)
20129,Giuliano Bartolomeo (Via)
20146,Giuliano Salvio (Via)
20121,Giulianova (Via)
20132,Giulietti Giuseppe Maria (Via)
20123,Giulini Giorgio (Via)
20145,Giulio Cesare (Piazzale)
20135,Giulio Romano (Via)
20129,Giuriati Mario (Via)
20143,Giussani Camillo (Via)
20154,Giusti Giuseppe (Via)
20129,Giustiniano (Viale)
20125,Giustizia (Via della)
20125,Gluck Cristoforo (Via)
20148,Gnocchi Don Carlo (Via)
20144,Gnocchi Viani Osvaldo (Via)
20136,Gobbi Ulisse (Via)
20131,Gobetti Pietro (Piazza) 
20121,Goethe Wolfango (Viale)
20162,Goffredo da Bussero (Via)
20121,Goito (Via)
20143,Gola Emilio (Via)
20129,Goldoni Carlo (Via)
20128,Golfo degli Aranci (Via)
20133,Golgi Camillo (Via)
20124,Gomes Carlo (Via)
20123,Gonfalone (Via del)
20147,Gonin Francesco (Via)
20138,Gonzaga Anselmo Guerrieri (Largo)
20123,Gonzaga Maurizio (Via)
20139,Gonzales Enrico (Via)
20123,Gorani (Via)
20133,Gorini Paolo (Piazzale)
20136,Gorizia (Viale) 
20144,Gorizia (Viale)
20146,Gorki Massimo (Via)
20126,Gorla (Piazza)
20151,Gorlini Fratelli (Via)
20127,Governo Provvisorio (Piazzale)
20154,Govone Giuseppe (Via) 
20155,Govone Giuseppe (Via)
20148,Goya Francesco (Via)
20148,Gozzadini (Via)
20131,Gozzano Guido (Via)
20129,Gozzi Gaspare (Via)
20152,Gozzoli Benozzo (Via)
20146,Gracchi (Via dei)
20148,Gradenigo (Via dei)
20151,Gradisca (Via)
20127,Grado (Via)
20157,Graf Arturo (Via)
20154,Gramsci Antonio (Piazza)
20145,Grancini Angelo Michele (Via)
20135,Grandi Giuseppe (Piazza)
20129,Grandi Giuseppe (Piazza)
20162,Gran Paradiso (Piazza)
20154,Gran San Bernardo (Via)
20131,Gran Sasso (Viale)
20137,Grasselli Annibale (Via)
20157,Grassi Giovanni Battista (Via)
20157,Grasso Giovanni (Via)
20142,Gratosoglio (Via) 
20162,Graziano Imperatore (Via)
20161,Grazioli Don Bartolomeo (Via)
20158,Grazzini Anton Francesco (Via)
20125,Greco (Piazza)
20123,Gregorio XIv Papa (Via)
20162,Gregorovius Ferdinando (Via)
20121,Greppi Antonio (Largo)
20135,Greppi Marco (Via)
20137,Gressoney (Via)
20143,Griffini Saverio (Via)
20155,Grigna (Via)
20162,Grilloni Giuseppe (Via)
20144,Grimani (Via dei)
20162,Grimm Fratelli (Via)
20161,Grioli Don Giovanni (Via)
20162,Grivola (Via)
20145,Griziotti Giacomo (Via)
20151,Grosio (Via)
20149,Grosotto (Via)
20156,Grosseto (Via)
20131,Grossich Antonio (Via)
20121,Grossi Tommaso (Via)
20154,Grubicy De Dragon Fratelli (Via)
20156,Grugnola Ferrario Rosina (Via)
20144,Grumello Antonio (Via)
20128,Guanella Don Luigi (Via)
20133,Guardi Francesco (Piazza)
20162,Guarini Matteucci Guido (Via)
20137,Guarino Veronese (Via)
20141,Guarneri (Via dei)
20152,Guascona (Via)
20122,Guastalla (Giardino)
20122,Guastalla (Piazzetta)
20122,Guastalla (Sito)
20122,Guastalla (Via della)
20122,Gubbio (Via)
20154,Guercino (Via)
20145,Guerrazzi Francesco Domenico (Via)
20138,Guerrieri Gonzaga Anselmo (Largo)
20133,Guerrini Olindo (Via)
20158,Guerzoni Giuseppe (Via)
20158,Guicciardi Diego (Via)
20129,Guicciardini Francesco (Via)
20145,Guido D'Arezzo (Via)
20127,Guinizzelli Guido (Via) 
20143,Guintellino Guglielmo (Via)
20147,Gulli Tommaso (Via)
20129,Hajech Camillo (Via)
20153,Harar (Via)
20129,Hayez Francesco (Via)
20141,Heine Enrico (Via)
20162,Hermada (Via)
20121,Hoepli Ulrico (Via)
20123,Hugo Victor (Via)
20121,Ibsen Enrico (Viale)
20132,Idro (Via)
20128,Iglesias (Via)
20121,Illica Luigi (Via)
20133,Illirico (Via)
20159,Imbonati Carlo (Via)
20158,Imbriani (Via degli)
20158,Imola (Via)
20162,Imperatore Graziano (Via)
20137,Imperatore Tito (Piazza)
20142,Imperia (Via)
20133,Inama Vigilio (Via)
20129,Indipendenza (Corso)
20154,Induno Fratelli (Via)
20147,Inganni Angelo (Via)
20131,Ingegnoli Francesco (Via)
20142,Innominato (Via dell')
20137,Insubria (Piazza)
20125,Intra (Via)
20151,Inverigo (Via)
20152,Ippocastani (Via degli)
20161,Ippocrate (Via)
20151,Ippodromo (Via)
20146,Irnerio Carlo (Piazza)
20139,Isarco (Largo)
20144,Ischia (Via)
20161,Iseo (Via)
20148,Isernia (Via)
20141,Isimbardi Innocenzo (Via)
20126,Isocrate (Via)
20135,Isonzo (Viale)
20159,Istria (Piazzale)
20125,Istria (Piazzale)
20122,Italia (Corso)
20161,Ivrea (Via)
20121,Jacini Stefano (Via)
20155,Jacopino da Tradate (Via)
20159,Jacopo Dal Verme (Via)
20149,Jacopo Della Quercia (Via)
20158,Jacopone da Todi (Via) 
20129,Jan Giorgio (Via)
20128,Jarach Federico (Via privata)
20127,Jaures Jean (Via)
20159,Jenner Edoardo (Viale)
20127,Jesi (Via)
20131,Jommelli Nicola (Via)
20156,Jona Emanuele (Via)
20157,Jorini Antonio (Via)
20129,Juvara Filippo (Via)
20151,Kant Emanuele (Via)
20151,Kennedy John Fitzgerald (Piazza)
20124,Keplero Giovanni (Via)
20162,Koerner Guglielmo (Via)
20137,Kolbe Padre Massimiliano (Via)
20154,Koristka Francesco (Via)
20129,Kramer Antonio (Via)
20152,Kuliscioff Anna (Via)
20133,Labeone (Via)
20147,Labus Giovanni (Via)
20139,Lacaita Giacomo Filippo (Via)
20126,La Farina Giuseppe (Via)
20121,La Foppa (Largo)
20122,Laghetto (Via)
20122,Laghetto (Vicolo)
20156,Laghi (Piazzale ai)
20142,Lago di Nemi (Via)
20159,Lagosta (Piazzale)
20124,Lagosta (Piazzale)
20136,Lagrange Giuseppe (Via)
20148,Laigueglia (Via)
20128,La Malfa Ugo (Via)
20122,Lamarmora Alfonso (Via)
20156,La Masa Giuseppe (Via)
20159,Lambertenghi Porro Luigi (Via)
20131,Lambrate (Via)
20129,Lambro (Via)
20156,Lambruschini Raffaele (Via)
20153,Lamennais F. R. (Via)
20141,Lampedusa (Via)
20151,Lampugnano (Via) 
20158,Lancetti Vincenzo (Viale)
20124,Lanciano (Via)
20121,Landolfo (Via)
20156,Landolfo II da Carcano (Via)
20125,Landriani Carlo (Via)
20162,Lanfranco Della Pila (Via)
20144,Lanino Bernardino (Via)
20121,Lanza Giovanni (Via)
20123,Lanzone (Via)
20122,Larga (Via)
20152,Larici (Via dei)
20159,Lario (Via)
20128,Lascaris Costantino (Via)
20141,Lassalle Ferdinando (Via)
20159,Latisana (Via)
20137,Lattanzio (Via)
20135,Lattuada Serviliano (Via)
20159,Laurana (Via)
20121,Lauro (Via del)
20137,Lavagna Filippo (Via)
20147,La Valle Remo (Via)
20144,Lavandai (Vicolo)
20129,Lavater (Piazzale)
20148,Laveno (Via)
20135,Lazio (Viale)
20124,Lazzaretto (Via)
20124,Lazzaroni Giuseppina (Via)
20154,Lazzati Antonio (Via)
20136,Lecce (Via)
20143,Lecchi Antonio (Via)
20124,Lecco (Via)
20154,Lega Lombarda (Piazza)
20127,Leghe (Via delle)
20121,Legione Lombarda (Viale)
20147,Legioni Romane (Viale)
20121,Legnano (Via)
20158,Legnone (Via)
20161,Leningrado (Via)
20122,Lentasio (Via)
20133,Leonardo da Vinci (Piazza)
20131,Leoncavallo Ruggero (Via)
20162,Leone da Perego (Via)
20145,Leone XIII (Via)
20141,Leoni Pompeo (Via)
20123,Leopardi Giacomo (Via)
20125,Lepanto (Via)
20124,Lepetit Roberto (Via)
20159,Lepontina (Via)
20148,Lerici (Via) 
20125,Lesa (Via)
20123,Lesmi (Via)
20157,Lessona Michele (Via)
20157,Leti Gregorio (Via)
20144,Letizia (Via)
20146,Leto Pomponio (Via)
20148,Levanto (Via)
20157,Levi Carlo (Via)
20158,Levico (Via)
20124,Liberazione (Viale della)
20121,Liberty (Piazza del)
20135,Libia (Piazzale)
20134,Licata (Via)
20126,Licurgo (Via)
20143,Liguria (Viale)
20124,Lima (Piazza)
20128,Linati Carlo (Via)
20129,Lincoln Abramo (Via)
20145,Linneo Carlo (Via)
20144,Lipari (Via)
20131,Lippi Filippino (Via)
20138,Liri (Via del)
20128,Liscate (Via)
20162,Lissoni Antonio (Via)
20161,Litta Modignani Alessandro (Via)
20122,Litta Pompeo (Via)
20141,Liutprando (Via)
20135,Livenza (Via)
20158,Livigno (Via)
20139,Livinallongo (Via)
20122,Livorno (Via)
20126,Livraghi Giovanni (Via)
20155,Locarno (Via)
20124,Locatelli Antonio (Via)
20156,Locchi Vittorio (Via)
20135,Lodi (Corso) 
20139,Lodi (Corso)
20135,Lodi (Piazzale)
20136,Lodovica (Piazzale di Porta)
20143,Lodovico Il Moro (Via)
20142,Lodovico Il Moro (Via)
20154,Lomazzo Paolo (Via)
20131,Lombardia (Viale)
20143,Lombardini Elia (Via)
20137,Lombroso Cesare (Via)
20133,Lomellina (Via)
20131,Lomonaco Francesco (Via)
20154,Londonio Francesco (Via)
20139,Longanesi Leo (Via)
20157,Longarone (Via)
20139,Longhena Baldassarre (Via)
20137,Longhi Giuseppe (Via)
20159,Longoni Emilio (Via)
20143,Lope De Vega Felice (Via)
20157,Lopez Sabatino (Via)
20148,Loredan (Via dei)
20146,Lorenteggio (Via) 
20147,Lorenteggio (Via)
20146,Lorenzetti Fratelli (Via)
20139,Lorenzini Giovanni (Via)
20149,Lorenzo Di Credi (Via)
20131,Loreto (Piazzale)
20144,Loria Moise' (Via)
20154,Losanna (Via)
20148,Lotto Lorenzo (Piazzale)
20121,Lovanio (Via)
20148,Lovere (Via)
20145,Luca Della Robbia (Via)
20139,Lucania (Viale)
20135,Lucano (Via)
20147,Lucarino (Via del)
20152,Lucca (Via)
20152,Lucera (Via)
20156,Luciano (Via)
20151,Lucillo Gaio (Via)
20125,Lucini Giampietro (Via)
20136,Lucrezio Caro Tito (Piazza)
20122,Ludovico da Viadana (Via)
20156,Ludovico Di Breme (Via)
20158,Lugano (Piazzale)
20158,Lugo (Via)
20125,Luigi di Savoia (Piazza) 
20124,Luigi di Savoia (Piazza)
20154,Luigi Nono (Via)
20123,Luini Bernardino (Via)
20131,Lulli Giovanni (Via)
20127,Lumiere Fratelli (Via)
20125,Lunigiana (Viale)
20131,Luosi Giuseppe (Via)
20123,Lupetta (Via)
20122,Lusardi Aldo (Via) 
20141,Lusitania (Via)
20159,Lussino (Via)
20159,Lussinpiccolo (Via)
20128,Lussu Emilio (Via)
20126,Lutero Martin (Via)
20158,Luxemburg Rosa (Via)
20133,Luzzatti Luigi (Via)
20124,Macchi Mauro (Via)
20141,Macconago (Via)
20139,Macerata (Via)
20145,Machiavelli Niccolo' (Via)
20159,Maciachini Carlo (Piazzale)
20155,Mac Mahon (Via)
20122,Maddalena (Via)
20138,Maderna Bruno (Via)
20136,Maderno Carlo (Via)
20152,Madonna dei Poveri (Piazza)
20153,Madonna della Provvidenza (Piazza)
20121,Madonnina (Via)
20122,Madre Cabrini (Via)
20149,Madruzzo Cristoforo (Via)
20135,Maestri Campionesi (Via)
20162,Maestri del Lavoro (Via)
20129,Maestri Pietro (Via)
20151,Mafalda di Savoia (Via)
20135,Maffei Andrea (Via)
20122,Maffei Clara (Via)
20162,Maffi Antonio (Via)
20157,Maffi Cardinale Pietro (Via)
20158,Maffucci Angiolo (Via)
20158,Magellano (Via)
20123,Magenta (Corso)
20156,Maggianico (Via)
20154,Maggi Carlo Maria (Via)
20142,Maggi Gian Antonio (Piazza)
20125,Maggiolina (Via della)
20122,Maggiolini Giuseppe e Francesco Carlo (Via)
20128,Magistretti Pietro (Via) 
20141,Magliocco Vincenzo (Via)
20149,Magnasco Alessandro (Via)
20143,Magolfa (Via)
20151,Magreglio (Via)
20131,Maiella (Via della)
20129,Maino Luigi (Viale)
20122,Maino Luigi (Viale)
20125,Mainoni D'Intignano Luigi (Via)
20129,Maiocchi Achille (Via)
20142,Maiorca (Via)
20135,Maj Angelo (Via)
20131,Majella (Via della)
20129,Majno Luigi (Viale)
20122,Majno Luigi (Viale)
20142,Majorca (Via)
20146,Malachia Marchesi De Taddei (Via)
20143,Malaga (Via)
20146,Malatesta (Via dei)
20138,Malipiero Gianfranco (Via)
20148,Malnati Linda (Via)
20158,Maloja (Via)
20129,Malpighi Marcello (Via)
20121,Malta (Viale)
20127,Malvestiti Piero (Via)
20157,Mambretti Antonio (Via)
20129,Mameli Goffredo (Via)
20127,Mamiani Terenzio (Via)
20122,Manara Luciano (Via)
20153,Manaresi Cesare (Via)
20131,Mancinelli Luigi (Via)
20129,Mancini Ludovico (Via)
20148,Mancini Pasquale Stanislao (Via)
20141,Manduria (Via) 
20142,Manduria (Via)
20154,Manfredini Luigi (Via)
20142,Manfredonia (Via)
20133,Mangiagalli Luigi (Via)
20121,Mangili Cesare (Via)
20123,Mangone Fabio (Via)
20134,Maniago (Via)
20121,Manin Daniele (Via)
20162,Mann Thomas (Via)
20156,Mantegazza Paolo (Via)
20121,Mantegazza Solera Laura (Via)
20154,Mantegna Andrea (Via)
20135,Mantova (Via)
20136,Manusardi Luigi (Corso)
20124,Manuzio Aldo (Via)
20147,Manzano (Via)
20121,Manzoni Alessandro (Via)
20158,Manzotti Luigi (Via)
20156,Mapelli (Vicolo)
20124,Marangoni Leopoldo (Via)
20125,Maraschi Padre Antonio (Via) 
20148,Maratta Carlo (Via)
20157,Marazza Achille (Via)
20132,Marazzani Giorgio (Via)
20124,Marcello Benedetto (Via)
20125,Marche (Viale) 
20159,Marche (Viale) 
20146,Marchesi De Taddei Malachia (Via)
20153,Marchesi Pompeo (Via)
20141,Marchetti Leopoldo (Via)
20122,Marchiondi Paolo (Via)
20161,Marchionni Carlotta (Via)
20133,Marciano (Via)
20127,Marco Aurelio (Via)
20138,Marco Bruto (Via)
20139,Marco D'Agrate (Via)
20131,Marco D'Aviano (Via)
20123,Marco D'Oggiono (Via)
20129,Marcona (Via)
20123,Marconi Guglielmo (Via)
20121,Marcora Giuseppe (Via)
20142,Mare (Via del)
20139,Marelli Ercole (Via)
20144,Marenco Romualdo (Via)
20121,Marengo (Piazzale)
20133,Marescalchi Ferdinando (Via)
20149,Marghera (Via)
20147,Margherite (Via delle)
20156,Mariani Paolo (Via)
20128,Mariani Pompeo (Via)
20123,Maria Teresa (Via)
20138,Marignano (Via)
20121,Marina (Via)
20135,Marinai d'Italia (Largo)
20125,Marinella (Via)
20127,Marinetti Filippo Tommaso (Via) 
20121,Marino Tommaso (Via)
20149,Mario Alberto (Via)
20148,Mar Jonio (Viale)
20162,Marmolada (Via)
20161,Marna (Via della)
20152,Mar Nero (Via)
20127,Marocco Pietro (Via)
20139,Marochetti Carlo (Via)
20154,Maroncelli Pietro (Via)
20146,Marostica (Via)
20134,Marotta Giuseppe (Viale)
20123,Marradi Giovanni (Via)
20121,Marsala (Via)
20149,Marsica (Via)
20162,Martelli Franco (Piazza)
20124,Martignoni Adele (Via)
20161,Martinazzoli Antonio (Via)
20152,Martinella (Via della)
20142,Martinelli Guido (Via)
20139,Martinengo Francesco (Via)
20147,Martinetti Piero (Via)
20142,Martini Arturo (Via)
20139,Martini Enrico (Viale)
20137,Martini Ferdinando (Piazzale)
20161,Martini Monsignor Luigi (Via)
20131,Martini Padre Giovan Battista (Via)
20143,Martini Simone detto Memmi (Via)
20146,Martinitt (Via dei)
20152,Martirano (Via)
20161,Martiri della Deportazione (Piazzale)
20127,Martiri Oscuri (Via)
20148,Martiri Triestini (Via)
20157,Martoglio Nino (Via)
20134,Martorelli Giacinto (Via privata)
20124,Martucci Giuseppe (Via)
20154,Marussig Pietro (Via)
20153,Marx Carlo (Via)
20151,Marzabotto (Via)
20122,Marziale (Via)
20149,Masaccio (Via)
20152,Masaniello (Via)
20129,Mascagni Paolo (Via)
20122,Mascagni Pietro (Via)
20123,Mascheroni Lorenzo (Via) 
20145,Mascheroni Lorenzo (Via)
20129,Masera Giovanni (Via)
20158,Masina Angelo (Via)
20133,Masotto Umberto (Via) 
20137,Maspero Paolo (Via)
20123,Massaia Guglielmo (Piazza)
20158,Massara De Capitani Rosa (Via)
20139,Massarani Tullo (Via)
20148,Massarenti Giuseppe (Via)
20125,Massari Giuseppe (Piazzale)
20146,Massaua (Via)
20145,Massena Andrea (Via)
20134,Massimiano (Via)
20154,Massimo D'Azeglio (Via)
20141,Matera (Via)
20126,Mattei Enrico (Largo)
20126,Mattei Gian Franco (Via)
20121,Matteotti Giacomo (Corso)
20129,Matteucci Carlo (Via)
20121,Mattioli Raffaele (Largo)
20123,Mauri Achille (Via)
20144,Mauri Angelo (Via)
20146,Mayer Sally (Via)
20122,Mayr Giovanni (Via)
20132,Mazzali Guido (Via)
20147,Mazzarino Giulio (Via)
20123,Mazzini Giuseppe (Via)
20142,Mazzolari Primo (Via)
20161,Mazzucchelli Samuele (Via)
20138,Mazzucotelli Alessandro (Via)
20138,Mecenate (Via)
20121,Meda Filippo (Piazza)
20136,Meda Giuseppe (Via) 
20141,Meda Giuseppe (Via)
20135,Medaglie d'Oro (Piazza)
20138,Medea Eugenio (Via)
20141,Medeghino (Via)
20123,Medici (Via)
20138,Medici Del Vascello Giacomo (Via)
20151,Medici Luigi (Largo)
20125,Meina (Via)
20157,Melato Maria (Via)
20122,Melegari Luigi Amedeo (Via)
20122,Melegnano (Via)
20138,Meleri Geremia (Via) 
20128,Melette (Via)
20127,Meli Giovanni (Via)
20152,Mella (Via del)
20123,Mellerio Giacomo (Via)
20129,Melloni Macedonio (Via)
20121,Melone (Via)
20148,Meloria (Via)
20148,Melozzo da Forli' (Piazza)
20154,Melzi D'Eril Francesco (Via)
20129,Melzo (Via)
20159,Menabrea Luigi Federico (Via)
20147,Menaggio (Via)
20121,Mengoni Giuseppe (Via)
20129,Menotti Ciro (Via)
20162,Menozzi Angelo (Via)
20123,Mentana (Piazza)
20147,Menzini Benedetto (Via)
20127,Merano (Via)
20123,Meravigli (Via)
20124,Mercadante Saverio (Via)
20122,Mercalli Giuseppe (Via)
20123,Mercanti (Piazza)
20121,Mercanti (Sottovia)
20121,Mercanti (Via)
20123,Mercanti (Via)
20158,Mercantini Luigi (Via)
20121,Mercato (Via)
20122,Merlo Carlo Giuseppe (Via)
20161,Merloni Madre Clelia (Via)
20142,Merula Giorgio (Via)
20131,Merzario Andrea (Via)
20154,Messina (Via)
20132,Mestre (Via)
20123,Metastasio Pietro (Via)
20146,Metauro (Via)
20128,Meucci Antonio (Via)
20141,Mezzanotte Paolo (Via)
20133,Mezzofanti Cardinale (Via)
20143,Miani Guglielmo (Piazza)
20122,Micca Pietro (Via)
20148,Micene (Via)
20152,Michele da Carcano Beato (Via)
20155,Michelino da Besozzo (Via) 
20158,Michetti Francesco Paolo (Via)
20121,Mickiewicz Adamo (Viale)
20148,Migliara Giovanni (Viale)
20161,Miglioretti Pasquale (Via)
20153,Mignone Milly Carla (Via)
20143,Milani Don Lorenzo (Cavalcavia)
20133,Milani Giovanni (Via)
20121,Milazzo (Via)
20133,Milesi Alessandro (Via)
20152,Milesi Bianca (Via)
20144,Milizie (Piazzale delle)
20129,Mille (Viale dei)
20147,Millelire Domenico (Via)
20121,Milton Giovanni (Viale)
20147,Mimose (Via delle)
20139,Mincio (Via)
20142,Minerbi Arrigo (Via)
20121,Minghetti Marco (Via)
20159,Minniti Tito (Piazza)
20127,Minturno (Via)
20161,Minuziano Alessandro (Via)
20158,Minzoni Don Giovanni (Via)
20121,Mirabello Carlo (Piazza)
20126,Miramare (Via)
20142,Missaglia (Via dei)
20161,Missionari Comboniani (Largo)
20122,Missori Giuseppe (Piazza)
20123,Missori Giuseppe (Piazza) 
20139,Mistral Federico (Piazza)
20146,Misurata (Viale)
20137,Mocenigo (Via dei)
20129,Modena Gustavo (Via)
20144,Modestino (Via)
20143,Modica (Via)
20144,Modigliani Amedeo (Via)
20161,Modignani Litta Alessandro (Via)
20146,Mogadiscio (Via)
20156,Mola Pier Francesco (Via)
20132,Molfetta (Via)
20121,Moliere (Viale)
20147,Molinazzo (Via del)
20153,Molinetto (Via)
20123,Molino Delle Armi (Via)
20137,Molise (Viale)
20161,Molteni Giuseppe (Via) 
20152,Moltrasio (Via)
20141,Momigliano Attilio (Via)
20139,Mompiani Giacinto (Via)
20162,Moncalieri (Via)
20146,Moncalvo (Via)
20142,Moncucco (Via)
20122,Mondadori Arnoldo (Piazza)
20138,Mondolfo Ugo Guido (Via)
20132,Mondovi' (Via)
20123,Moneta (Via)
20161,Moneta Ernesto Teodoro (Via) 
20157,Moneta Ernesto Teodoro (Via)
20132,Monfalcone (Via)
20144,Monferrato (Via)
20122,Monforte (Corso)
20138,Monlue' (Via)
20134,Monneret De' Villar Ugo (Via)
20148,Monreale (Via)
20157,Montagnani Marelli Piero (Via)
20159,Montalbino (Via)
20158,Montaldi L. (Via)
20151,Montale Eugenio (Via)
20161,Montanari Carlo (Via)
20156,Montanelli Giuseppe (Via)
20159,Montano Cola (Via)
20156,Monte Altissimo (Via)
20149,Monte Amiata (Via)
20154,Monte Asolone (Via)
20153,Monte Baldo (Via)
20155,Monte Barro (Via)
20121,Montebello (Via)
20149,Monte Bianco (Via)
20138,Montecassino (Via)
20144,Montecatini (Via)
20155,Monte Ceneri (Viale)
20138,Monte Cengio (Via)
20149,Monte Cervino (Via)
20137,Monte Cimone (Via)
20159,Monte Cristallo (Via)
20147,Montecuccoli Raimondo (Via)
20121,Monte di Pieta' (Via)
20148,Monte Falterona (Piazza)
20156,Montefeltro (Via) 
20157,Montefeltro (Via)
20128,Montefior (Via)
20141,Montegani Ludovico (Via)
20155,Monte Generoso (Via)
20132,Monteggia Giovanni Battista (Via) 
20124,Monte Grappa (Viale)
20149,Monte Leone (Via)
20154,Montello (Viale)
20127,Monte Lungo (Via privata)
20139,Montemartini Giovanni (Via)
20141,Montemezzi Italo (Via)
20121,Monte Napoleone (Via)
20135,Monte Nero (Viale)
20131,Monte Nevoso (Via)
20138,Monte Oliveto (Via)
20137,Monte Ortigara (Via)
20138,Monte Palombino (Via)
20138,Monte Paralba (Via)
20138,Monte Piana (Via)
20138,Monte Popera (Via)
20128,Monte Prato Magno (Via)
20124,Montepulciano (Via)
20149,Monte Rosa (Viale)
20162,Monterotondo (Via)
20127,Monte San Gabriele (Via)
20158,Monte San Genesio (Via)
20124,Monte Santo (Viale)
20138,Montessori Maria (Via)
20148,Monte Stella (Via)
20133,Monte Suello (Via)
20132,Monte Titano (Piazza)
20155,Montevecchia (Via)
20137,Monte Velino (Via)
20131,Monteverdi Claudio (Via)
20144,Montevideo (Via)
20159,Monticelli (Via)
20148,Montichiari (Via)
20153,Monti Giosia (Piazza)
20152,Monti Giuseppe (Via)
20137,Monti Lepini (Via)
20162,Monti Padre Luigi (Via)
20141,Monti Sabini (Via)
20123,Monti Vincenzo (Via) 
20145,Monti Vincenzo (Via)
20149,Montorfano Donato (Via)
20154,Monviso (Via)
20127,Monza (Viale) 
20126,Monza (Viale)
20128,Monza (Viale) 
20159,Monzambano (Via)
20123,Mora Gian Giacomo (Via)
20127,Morandi Felicita (Via) 
20121,Morandi Rodolfo (Piazzale)
20154,Morazzone (Via)
20127,Morbegno (Piazza)
20149,Morbelli Angelo (Via)
20153,Morelli Fratelli (Via)
20129,Morelli Giovanni (Via)
20161,Moreschi Carlo (Via)
20148,Moretti Gaetano (Via)
20132,Moretti Marcello (Via)
20133,Moretto da Brescia (Via)
20129,Morgagni Giovanni Battista (Via)
20125,Morgagni Tullo (Via)
20148,Morgantini Mario (Via)
20158,Morghen Raffaello (Via)
20123,Morigi (Via)
20143,Morimondo (Via)
20141,Morivione (Via)
20161,Moro Aldo (Via)
20121,Morone Gerolamo (Via)
20146,Moroni Giovanni Battista (Via)
20135,Morosini Emilio (Via)
20123,Morozzo Della Rocca (Via)
20154,Morselli Ercole Luigi (Piazza)
20138,Morsenchio (Via)
20144,Mortara (Via)
20152,Mosca Antonio (Via)
20154,Moscati Pietro (Via)
20121,Moscova (Via)
20127,Mosso Angelo (Via)
20159,Mossotti Ottaviano Fabrizio (Via)
20144,Motta Emilio (Via)
20155,Mottarone (Via)
20122,Mozart Wolfango (Via)
20161,Mozzoni Cicogna Carlo (Via)
20137,Mugello (Viale)
20152,Muggiano (Via)
20147,Mughetti (Via dei)
20132,Mulino Del Dosso (Cavalcavia)
20123,Mulino Delle Armi (Via)
20133,Murani Oreste (Largo)
20159,Murat Gioacchino (Via)
20135,Muratori Lodovico (Via)
20147,Murialdo Padre Leonardo (Via)
20149,Murillo (Viale)
20157,Musco Angelo (Via)
20154,Mussi Giuseppe (Via)
20124,Muzio Emanuele (Via)
20134,Muzio Scevola (Via)
20148,Nago (Via)
20156,Nansen Fridtjof (Via)
20146,Napoli (Piazza)
20147,Narcisi (Via dei) 
20132,Narni (Via)
20151,Natta Giulio (Via)
20159,Nava Francesco (Via)
20152,Navarra Bernstein Marta (Via)
20144,Naviglio Grande (Alzaia)
20143,Naviglio Pavese (Alzaia) 
20142,Naviglio Pavese (Alzaia)
20129,Nazari Gian Battista (Via)
20123,Necchi Lodovico (Via)
20141,Neera (Via)
20143,Negrelli Luigi (Piazzale)
20141,Negri Ada (Via)
20159,Negri Cristoforo (Via)
20123,Negri Gaetano (Via)
20133,Negroli (Via)
20156,Negrotto Michele Pericle (Via) 
20157,Negrotto Michele Pericle (Via)
20128,Nenni Pietro (Via)
20123,Nerino (Via)
20146,Neri Pompeo (Via)
20139,Nervesa (Via)
20128,Nervi (Via)
20148,Newton Isaac (Via)
20137,Nicastro (Via)
20156,Niccodemi Dario (Via)
20154,Niccolini G. Battista (Via)
20125,Nicola d'Apulia (Via)
20161,Nicolodi Aurelio (Via)
20161,Nicotera Giovanni (Via)
20145,Nievo Ippolito (Via)
20158,Nigra Costantino (Piazzale)
20152,Nikolajevka (Via)
20123,Nirone (Via)
20159,Nizza (Piazzale)
20152,Noale (Via)
20142,Noce Teresa (Via)
20133,Noe' Enrico (Via)
20154,Nono Luigi (Via)
20156,Norcia (Via privata)
20138,Norico (Via)
20126,Nota Alberto (Via)
20141,Noto (Via)
20147,Novara (Via) 
20153,Novara (Via)
20161,Novaro Michele (Via)
20161,Novate (Via)
20123,Novati Francesco (Via)
20149,Novegno (Via)
20129,Novelli Ermete (Piazza)
20144,Novi (Via)
20129,Nullo Francesco (Via)
20123,Numa Pompilio (Via)
20138,Numidia (Via)
20128,Nuoro (Via)
20156,Nuvolone Panfilo (Via)
20129,Oberdan Guglielmo (Piazza)
20147,Odazio Emanuele (Via)
20148,Oderzo (Via)
20148,Odescalchi (Via degli)
20134,Ofanto (Via)
20141,Ogliari Pietro (Via)
20139,Oglio (Via)
20143,Ohm Giorgio Simone (Piazza)
20151,Ojetti Ugo (Via)
