cap,via
20122,Bertarelli Luigi Vittorio (Piazza)
20127,Bertelli Luigi (Via)
20146,Bertieri Raffaello (Via)
20154,Bertini Giovanni Battista (Via)
20148,Bertinoro (Via)
20157,Bertola da Novate (Via)
20128,Bertolaia Giuseppe (Via)
20134,Bertolazzi Carlo (Via)
20121,Bertoni Renzo (Via)
20131,Beruto Cesare (Via)
20122,Besana Enrico (Via)
20147,Besenzanica Ernesto (Via)
20158,Besozzi Nino (Via)
20139,Bessarione (Via)
20161,Besta Giacomo Filippo (Via)
20131,Betteloni Vittorio (Via)
20136,Bettinelli Angelo e Maria Fratelli (Via)
20147,Bettini Lionello (Piazza)
20128,Bettini Pompeo (Via)
20125,Bettino da Trezzo (Via) 
20151,Betti Ugo (Via)
20125,Bettoni Nicolo' (Via)
20152,Betulle (Via delle)
20135,Bezzecca (Via)
20146,Bezzi Ergisto (Viale)
20153,Bezzola Antonio (Via)
20122,Bianca di Savoia (Via)
20154,Biancamano (Piazzale)
20121,Biancamano (Piazzale)
20122,Bianca Maria (Viale) 
20129,Bianca Maria (Viale)
20149,Biancardi Giuseppe (Via)
20156,Bianchi Emilio (Via)
20149,Bianchi Mose' (Via)
20131,Bianco Mario (Via)
20139,Bianconi Carlo (Via)
20146,Biancospini (Via dei)
20136,Bibbiena (Piazza)
20156,Bicetti De' Buttinoni G.M. (Via)
20143,Biella (Via)
20123,Biffi Serafino (Via)
20121,Bigli (Via)
20162,Biglia (Via dei Conti)
20126,Bignami Emilio (Via)
20143,Bilbao (Piazza)
20143,Binda Ambrogio (Via)
20155,Bindellina (Via della)
20141,Biondelli Bernardino (Via)
20154,Biondi Ezio (Via)
20157,Bir Acheim (Via)
20159,Biraghi Luigi (Via)
20133,Birago Dalmazio (Via)
20125,Birolli Renato (Via privata)
20151,Bisanzio (Via)
20155,Bisbino (Via)
20147,Bisceglie (Via) 
20152,Bisceglie (Via)
20125,Bisi Albini Sofia (Via)
20152,Bisi Angelo (Via)
20148,Bisleri Felice (Via)
20125,Bissolati Leonida (Via)
20134,Bistolfi Leonardo (Via)
20143,Bitinia (Via)
20159,Bitonto (Via)
20125,Bitti Romolo (Via)
20128,Biumi Paolo Gerolamo (Via)
20161,Bivona (Via)
20129,Bixio Nino (Via)
20125,Bizzoni Achille (Via)
20151,Bizzozzero Luigi (Via)
20136,Bligny (Viale)
20144,Bobbio (Via)
20123,Boccaccio Giovanni (Via)
20131,Boccherini Luigi (Via) 
20123,Bocchetto (Via)
20157,Boccioni Umberto (Largo)
20136,Bocconi Ferdinando (Via)
20158,Bodio Luigi (Viale)
20155,Bodoni Gian Battista (Via)
20141,Boeri Giovanni Battista (Via)
20145,Boezio Severino (Viale)
20142,Boffalora (Via)
20142,Boggiali Gaetano (Via)
20141,Bognetti Giovanni e Giampiero (Via dei)
20127,Boiardo Matteo Maria (Via)
20142,Boifava Pietro (Via)
20148,Boine Giovanni (Via)
20121,Boito Arrigo (Via)
20126,Bolama (Via)
20147,Boldini Giovanni (Via)
20146,Bolivar Simone (Piazza)
20157,Bolivia (Via)
20151,Bolla (Via)
20123,Bollo (Via del)
20139,Bologna (Piazzale)
20159,Boltraffio Gian Antonio (Via)
20127,Bolzano (Via)
20133,Bonardi Edoardo (Via)
20139,Boncompagni Carlo (Via)
20138,Bonfadini Romualdo (Via) 
20137,Bonfadini Romualdo (Via)
20141,Bonghi Ruggero (Via)
20144,Boni Giacomo (Via)
20154,Bonnet Nino (Via)
20127,Bono Cairoli Adelaide (Via)
20151,Bonola Federico (Piazza)
20139,Bonomelli Geremia (Piazza)
20158,Bonomi Amilcare (Via)
20125,Bontempelli Massimo (Via privata) 
20129,Bonvesin De La Riva (Via)
20149,Bonzagni Aroldo (Via)
20142,Bordighera (Via)
20149,Bordone Paris (Via)
20124,Bordoni Antonio (Via)
20123,Borella Giuseppe (Galleria)
20146,Borelli Giovanni Alfonso (Via)
20122,Borgazzi Gerolamo (Via)
20154,Borgese Giuseppe Antonio (Via)
20123,Borges Luis Jorges (Largo)
20122,Borghetto (Via)
20122,Borgogna (Via)
20134,Borgomainerio Luigi (Via)
20121,Borgonuovo (Via)
20121,Borgospesso (Via)
20132,Bormio (Via)
20123,Borromei (Via)
20123,Borromeo (Piazza)
20123,Borromeo Cardinale Federico (Via)
20136,Borromini Francesco (Via)
20151,Borsa Mario (Via)
20159,Borsieri Pietro (Via)
20143,Borsi Giosue' (Via)
20159,Boscaiola (Via della)
20121,Boschetti (Via)
20124,Boschetti Erasmo (Via)
20124,Boscovich Ruggero (Via)
20136,Boselli Antonio (Via)
20162,Bosisio (Via)
20121,Bossi (Via dei)
20121,Bossi Maurilio (Piazzetta)
20123,Bosso Donato (Via)
20157,Bossoli Carlo (Via)
20135,Botta Carlo (Via)
20132,Bottego Vittorio (Via)
20125,Bottelli Giuseppe (Via)
20131,Bottesini Giovanni (Via)
20133,Botticelli Sandro (Via)
20133,Bottini Enrico (Piazza)
20141,Bottoni Piero (Via)
20132,Boves (Via)
20159,Bovio Giovanni (Via)
20158,Bovisasca (Via) 
20157,Bovisasca (Via)
20153,Bozzi Fratelli (Via)
20132,Bra' (Via)
20124,Bracciano (Via)
20154,Braccio da Montone (Via)
20159,Bracco Roberto (Via)
20144,Bragadino Marco Antonio (Via)
20125,Braga Gaetano (Via) 
20136,Brahms Giovanni (Viale)
20122,Braida (Via della)
20154,Bramante (Via)
20155,Bramantino (Via)
20128,Brambilla Francesco (Via)
20147,Branca Giulio (Via)
20156,Branda Castiglioni Cardinale (Via)
20161,Braschi (Via dei)
20146,Brasilia (Largo)
20126,Breda Ernesto (Via)
20132,Bregno Andrea (Via)
20148,Breguzzo (Via)
20139,Brembo (Via)
20123,Brennero (Via)
20139,Breno (Via)
20139,Brenta (Viale)
20121,Brentano Giuseppe (Via)
20148,Brentonico (Via)
20121,Brera (Piazzetta di)
20121,Brera (Via)
20149,Brescia (Piazzale)
20132,Bresciani Turroni Costantino (Via)
20126,Bressan Fratelli (Via)
20151,Bressanone (Via)
20161,Bresso (Via)
20141,Briano Giorgio (Via)
20127,Brianza (Viale)
20152,Brigatti Eligio (Via)
20155,Brighenti Costantino e Maria (Via)
20149,Brin Benedetto (Via)
20136,Brioschi Francesco (Via) 
20141,Brioschi Francesco (Via)
20133,Briosi Giovanni (Via)
20123,Brisa (Via)
20156,Brivio (Via)
20158,Brivio Cesare (Via)
20139,Brizi Eugenio (Via)
20131,Brocchi Gian Battista (Via) 
20151,Brocchi Virgilio (Via)
20158,Brofferio Angelo (Via)
20129,Broggi Giuseppe (Via)
20152,Broggini Bonaventura (Via)
20158,Broglio Emilio (Via)
